venue,latitude,longitude,Average_price,rating
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Bikanervala,28.4690343669,77.0636945218,600.0,4.1
Dial For Cake,28.4632090000,77.0797050000,300.0,0
Biryani Khansama,28.4807307807,77.0498328656,400.0,3.7
Sagar Ratna,28.4787014557,77.0807345957,750.0,3.9
Madras Cafe,28.4766567668,77.0455379784,400.0,3.6
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Dial For Cake,28.4632090000,77.0797050000,300.0,0
Biryani Khansama,28.4807307807,77.0498328656,400.0,3.7
Madras Cafe,28.4766567668,77.0455379784,400.0,3.6
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Bikanervala,28.4250793894,77.0390865952,600.0,3.9
Vapour Bar Exchange,28.4066929731,77.0420796052,1600.0,4.3
Sagar Ratna,28.4209631288,77.0383248478,750.0,3.7
Naivedyam,28.4024948953,77.0465766639,600.0,4.0
Dana Choga,28.4139662982,77.0658714697,600.0,4.4
Tau's Tantra,28.4115970000,77.0425190000,450.0,3.3
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4690343669,77.0636945218,600.0,4.1
Biryani Khansama,28.4807307807,77.0498328656,400.0,3.7
Dial For Cake,28.4632090000,77.0797050000,300.0,0
Madras Cafe,28.4766567668,77.0455379784,400.0,3.6
PIND BALLUCHI,28.5114004884,77.0418888330,1300.0,3.5
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Diya - The Leela Ambience,28.5050313186,77.0952339470,3500.0,3.9
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Kiyan - The Roseate,28.5251180285,77.1002262086,4500.0,4.2
Diya - The Leela Ambience,28.5050313186,77.0952339470,3500.0,3.9
Sagar Ratna,28.3420067302,76.9374151155,750.0,3.0
Bikanervala,28.4250793894,77.0390865952,600.0,3.9
Sagar Ratna,28.4209631288,77.0383248478,750.0,3.7
Vapour Bar Exchange,28.4066929731,77.0420796052,1600.0,4.3
Haldiram's,28.4016983182,76.9882429764,600.0,4.0
Tau's Tantra,28.4115970000,77.0425190000,450.0,3.3
Naivedyam,28.4024948953,77.0465766639,600.0,4.0
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4690343669,77.0636945218,600.0,4.1
Dial For Cake,28.4632090000,77.0797050000,300.0,0
Biryani Khansama,28.4807307807,77.0498328656,400.0,3.7
Sagar Ratna,28.4787014557,77.0807345957,750.0,3.9
PIND BALLUCHI,28.4683031323,77.0643556863,1300.0,3.8
Madras Cafe,28.4766567668,77.0455379784,400.0,3.6
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Bikanervala,28.4690343669,77.0636945218,600.0,4.1
Diya - The Leela Ambience,28.5050313186,77.0952339470,3500.0,3.9
Naivedyam,28.4649324907,77.0788650960,600.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Khan Chacha,28.4673201869,77.0815647393,650.0,3.7
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Bikanervala,28.4250793894,77.0390865952,600.0,3.9
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Sagar Ratna,28.4209631288,77.0383248478,750.0,3.7
Bikanervala,28.4690343669,77.0636945218,600.0,4.1
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Naivedyam,28.4649324907,77.0788650960,600.0,4.1
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Dial For Cake,28.4632090000,77.0797050000,300.0,0
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
Biryani Aroma,28.4690977344,77.0626960695,700.0,4.1
Haldiram's,28.4807519991,77.0801428333,600.0,3.9
Biryani Blues,28.4622246405,77.0872879028,600.0,4.0
Saffron - Trident Gurgaon,28.5036686352,77.0881783962,4000.0,3.9
Dana Choga,28.4824624248,77.0495079830,600.0,4.9
Tunday Kababi,28.4710904030,77.1017265692,600.0,3.8
Om Sweets & Snacks,28.4736250255,77.0478614420,500.0,4.1
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Peprika Restaurant,28.3633473014,76.9350742176,500.0,2.9
Bikanervala,28.4250793894,77.0390865952,600.0,3.9
Sagar Ratna,28.4209631288,77.0383248478,750.0,3.7
Haldiram's,28.4016983182,76.9882429764,600.0,4.0
Tau's Tantra,28.4115970000,77.0425190000,450.0,3.3
Bikanervala,28.4683570687,77.0357884839,600.0,3.5
Swagath,28.4698177638,77.0627644658,1500.0,3.7
